uniprot_accession,organism,organism_type,gh_family,length,input_fasta,model_source,swiss_model_status,model_path,template,gmqe,qmean,notes
G9DBG3,Talaromyces pinophilus (Penicillium pinophilum),fungal,GH11,233,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G9DBG3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G9DBG3_swissmodel.pdb,,,,
H6WWN7,Aspergillus oryzae (Yellow koji mold),fungal,GH11,232,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/H6WWN7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/H6WWN7_swissmodel.pdb,,,,
I3NRT9,Thermobifida halotolerans,bacterial,GH11,335,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/I3NRT9.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/I3NRT9_swissmodel.pdb,,,,
I4DXK6,Paenibacillus curdlanolyticus,bacterial,GH10,318,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/I4DXK6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/I4DXK6_swissmodel.pdb,,,,
J7JXS8,Caldanaerobius polysaccharolyticus,bacterial,GH10,1454,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/J7JXS8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/J7JXS8_swissmodel.pdb,,,,
Q0PRN5,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),bacterial,GH10,423,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q0PRN5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q0PRN5_swissmodel.pdb,,,,
Q21GI8,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,619,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21GI8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21GI8_swissmodel.pdb,,,,
Q21HD6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,374,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21HD6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21HD6_swissmodel.pdb,,,,
Q21MW6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,275,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21MW6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21MW6_swissmodel.pdb,,,,
Q21NZ2,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,670,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21NZ2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21NZ2_swissmodel.pdb,,,,
Q21PD4,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,574,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q21PD4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q21PD4_swissmodel.pdb,,,,
Q288H9,Flavobacterium sp. MSY2,bacterial,GH10,371,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q288H9.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q288H9_swissmodel.pdb,,,,
Q45UD8,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,211,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q45UD8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q45UD8_swissmodel.pdb,,,,
Q546Y2,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH10,396,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q546Y2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q546Y2_swissmodel.pdb,,,,
Q5YB84,Neocallimastix frontalis (Rumen fungus),fungal,GH11,607,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q5YB84.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q5YB84_swissmodel.pdb,,,,
Q6GVM9,Ruminococcus albus,bacterial,GH11,542,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q6GVM9.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q6GVM9_swissmodel.pdb,,,,
Q6UN40,Thermochaetoides thermophila,fungal,GH11,267,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q6UN40.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q6UN40_swissmodel.pdb,,,,
Q79MJ7,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH11,210,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q79MJ7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q79MJ7_swissmodel.pdb,,,,
Q7RW51,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,431,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7RW51.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7RW51_swissmodel.pdb,,,,
Q7S0Y0,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,329,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7S0Y0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7S0Y0_swissmodel.pdb,,,,
Q7S3P8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,384,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7S3P8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7S3P8_swissmodel.pdb,,,,
Q7S6C2,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,445,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7S6C2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7S6C2_swissmodel.pdb,,,,
Q7SDQ1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,220,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7SDQ1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7SDQ1_swissmodel.pdb,,,,
Q7Z8B8,Neocallimastix frontalis (Rumen fungus),fungal,GH11,337,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q7Z8B8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q7Z8B8_swissmodel.pdb,,,,
Q8GMV6,Thermopolyspora flexuosa,bacterial,GH10,492,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q8GMV6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q8GMV6_swissmodel.pdb,,,,
Q8J1V4,Thermochaetoides thermophila,fungal,GH11,224,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q8J1V4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q8J1V4_swissmodel.pdb,,,,
Q8J1V5,Thermochaetoides thermophila,fungal,GH11,230,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q8J1V5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q8J1V5_swissmodel.pdb,,,,
Q9HDL7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HDL7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HDL7_swissmodel.pdb,,,,
Q9HEN3,Curvularia spicifera,fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEN3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEN3_swissmodel.pdb,,,,
Q9HEN4,Curvularia spicifera,fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEN4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEN4_swissmodel.pdb,,,,
Q9HEN5,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEN5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEN5_swissmodel.pdb,,,,
Q9HEN6,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEN6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEN6_swissmodel.pdb,,,,
Q9HEN7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEN7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEN7_swissmodel.pdb,,,,
Q9HEP2,Bipolaris sorghicola,fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEP2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEP2_swissmodel.pdb,,,,
Q9HEP3,Bipolaris sorghicola,fungal,GH11,114,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9HEP3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9HEP3_swissmodel.pdb,,,,
Q9RQB7,Xylanimonas pachnodae,bacterial,GH10,1183,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9RQB7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9RQB7_swissmodel.pdb,,,,
Q9RQB8,Xylanimonas pachnodae,bacterial,GH11,335,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/Q9RQB8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/Q9RQB8_swissmodel.pdb,,,,
S4S3F1,Phialophora sp. P13,fungal,GH11,234,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/S4S3F1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/S4S3F1_swissmodel.pdb,,,,
U5HTS3,Ophiostoma piliferum (Ceratocystis pilifera),fungal,GH11,216,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/U5HTS3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/U5HTS3_swissmodel.pdb,,,,
U5HU68,Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata),fungal,GH11,230,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/U5HU68.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/U5HU68_swissmodel.pdb,,,,
V5R355,Aspergillus fumigatus (Neosartorya fumigata),fungal,GH11,189,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/V5R355.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/V5R355_swissmodel.pdb,,,,
V9NCQ7,Bacillus sp. SN5,bacterial,GH11,366,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/V9NCQ7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/V9NCQ7_swissmodel.pdb,,,,
W5VXL4,Neurospora sitophila (Chrysonilia sitophila),fungal,GH11,376,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/W5VXL4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/W5VXL4_swissmodel.pdb,,,,
A0A0K8J318,Herbinix luporum,bacterial,GH11,220,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0K8J318.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0K8J318_swissmodel.pdb,,,,
A0A6M5Z4H3,Frigoriglobus tundricola,bacterial,GH10,502,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A6M5Z4H3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A6M5Z4H3_swissmodel.pdb,,,,
A0A7U4XSS7,Clostridium sporogenes,bacterial,GH11,270,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A7U4XSS7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A7U4XSS7_swissmodel.pdb,,,,
F0BDW4,Xanthomonas vesicatoria ATCC 35937,bacterial,GH10,110,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/F0BDW4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/F0BDW4_swissmodel.pdb,,,,
K9TUC6,Chroococcidiopsis thermalis (strain PCC 7203),bacterial,GH10,47,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/K9TUC6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/K9TUC6_swissmodel.pdb,,,,
